,Brazilian Bovespa,DJIA,Japan Nikkei,Shanghai Composite,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,Taiwan Index,IBEXSpainIndex,ATX Austria,SwissMarketIndex,CRUDE WTI PRICE,GOLD PRICE,COPPER SPOT PRICE,Euros per One DOllar,Yuan per One Dollar,Yen per One Dollar,Peso per One Dollar,Real per One Dollar,South Korea Won per One Dollar,IndiaRupee per One Dollar,SwissFranc per One Dollar,Malaysia per One Dollar,ThaiBhat per One Dollar,CanadianDol per One US Dollar,Singapore Dol per One Dollar,DanishKroner per One Dollar,NewZealandDollar per One Dollar,SriLanka Currency per One Dollar,Pound (GBP) per One Dollar,Norway currency per One Dollar,HongKong currency per One Dollar,SouthAfrica rand per One Dollar,Sweden currency per One Dollar,10YRUSTreasuryYield,2YearUSTreasury Yield,AAA Corporate Bond Yield -- US Moody's,CCC bond yield -- Bank of America US High Yield,Moody's BAA Yield,"BofA Merrill Lynch US Corporate BBB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch US High Yield BB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Asia Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted",U.S.SpotSilverPrices,"LIBOR (1-month), based on Euro",Soybean Price,"5-Year, 5-Year Forward Inflation Expectation Rate","10-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","5-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","Henry Hub Natural Gas Spot Price, Dollars per Million BTU, Daily, Not Seasonally Adjusted","Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT)?, Index, Daily, Not Seasonally Adjusted","Wilshire US Small-Cap Price Index?, Index, Daily, Not Seasonally Adjusted",Wilshire US Micro Cap,WilshireMidCapUS,CORNPRICESPOT,"TED Spread, Percent, Daily, Not Seasonally Adjusted","Bank Prime Loan Rate, Percent, Daily, Not Seasonally Adjusted","CBOE Volatility Index: VIX?, Index, Daily, Not Seasonally Adjusted","Economic Policy Uncertainty Index for United States, Index, Daily, Not Seasonally Adjusted",
BOVESPA OPEN,1,0.424709167,0.28101188,0.489047793,0.358079789,0.368738407,0.507588137,0.962725477,0.880911577,0.72172574,0.665927609,0.777111697,0.698103198,0.652223879,0.944154578,0.786946556,0.683119427,0.381238745,0.492667011,0.556956797,-0.857723103,0.853372072,-0.710260228,-0.806894183,-0.478874956,0.534558976,-0.842440479,-0.114347185,-0.186356669,-0.720134781,-0.771784802,-0.878995486,-0.800908169,-0.847734748,-0.70963663,-0.425983993,0.93001111,0.027950976,-0.601006924,-0.294316263,0.221959962,-0.391862197,-0.220393128,-0.057039788,-0.301796382,0.076414151,0.122474349,0.302691939,0.306463951,0.260111628,-0.046312001,0.321374355,-0.073952183,0.693251067,0.022007115,-0.126835333,-0.173823958,-0.107124199,0.184939195,0.556059506,0.270532058,0.5776629,0.792413536,0.27577377,0.041137174,0.24021271,-0.155687252,BOVESPA OPEN
DJIA Open,0.424709167,1,0.834629278,0.364910751,0.915814267,0.898897405,-0.056584477,0.538204766,0.526480406,0.754141277,0.866624338,0.802947942,0.731562482,0.813798544,0.556245322,0.68137938,0.864670164,0.769703785,0.898040541,0.274376469,-0.10519216,0.656990602,-0.332712563,0.075882211,0.336188056,-0.276327246,-0.442542888,-0.787201595,-0.66578414,-0.105470034,-0.305108883,-0.430501843,-0.533123143,-0.222807432,-0.329543056,-0.64027849,0.2362808,-0.664032628,-0.434600143,0.238107774,-0.505030081,-0.52504597,0.581428407,-0.637954554,-0.164461281,-0.669156922,-0.525798627,-0.267001203,-0.449650134,-0.302845255,-0.64644329,0.547742151,0.526864588,0.175523285,0.486651062,0.616994308,0.592411229,0.326532139,0.841866019,0.87227305,0.874591558,0.872185663,0.332493431,0.063778674,0.739775935,-0.497745794,-0.204088161,DJIA Open
NIKKEI225,0.28101188,0.834629278,1,0.495532172,0.925262492,0.935382661,0.071544254,0.410748492,0.327612494,0.75774978,0.837333776,0.759126078,0.731551614,0.841541497,0.439910167,0.464166605,0.804517244,0.77920041,0.894108699,0.421321815,-0.061381762,0.578850234,-0.290393788,0.102786647,0.525475573,-0.478779599,-0.461808842,-0.880510356,-0.680378211,-0.012604385,-0.283128273,-0.352585647,-0.532863327,-0.201392353,-0.283657293,-0.571704577,0.123573253,-0.754217727,-0.446364371,0.233062139,-0.484222899,-0.530082689,0.729610462,-0.824691696,0.041124015,-0.614846541,-0.379941348,-0.009133981,-0.231881431,-0.041820612,-0.450223573,0.678842529,0.726889124,0.006195543,0.40010943,0.490463482,0.466186198,0.412720022,0.904745034,0.830169751,0.8423955,0.821968097,0.212949465,0.302364333,0.895515312,-0.342664239,-0.264748252,NIKKEI225
ShanghaiComposite Open,0.489047793,0.364910751,0.495532172,1,0.455785055,0.491733424,0.395020517,0.611505503,0.471097317,0.562165484,0.560612298,0.579469603,0.582355279,0.513737001,0.54868229,0.441806009,0.627460537,0.513193276,0.630683521,0.423174398,-0.548398847,0.600872603,-0.361560515,-0.409479293,0.012464213,0.116952762,-0.576126932,-0.298254831,0.028922666,-0.295524621,-0.430100095,-0.454330591,-0.506800598,-0.509833883,-0.355898752,-0.106282895,0.446315115,-0.117945163,-0.323165011,-0.169861508,0.219338186,-0.249534865,0.159001163,-0.421993139,-0.045950247,-0.004013356,0.133100581,0.369270083,0.25485363,0.344244326,0.037102267,0.512107166,0.23801672,0.121073564,-0.033967721,-0.113170789,-0.131723498,-0.008908093,0.477490004,0.480519177,0.33962827,0.468499501,0.515466088,0.194440775,0.421877689,0.069494099,-0.165367105,ShanghaiComposite Open
Stoxx Europe 50,0.358079789,0.915814267,0.925262492,0.455785055,1,0.986087659,0.03669019,0.480922002,0.424485037,0.785849532,0.914897489,0.830442987,0.741825708,0.844189588,0.520075707,0.586535314,0.884741026,0.833511749,0.938113712,0.349416733,-0.099254586,0.63252622,-0.301846719,0.09772111,0.46395153,-0.378721809,-0.462437184,-0.849915755,-0.66940944,-0.04247294,-0.268893933,-0.376848056,-0.52889813,-0.200967984,-0.29615377,-0.58641662,0.184687497,-0.726035492,-0.441623358,0.196971886,-0.444835813,-0.499687804,0.648338607,-0.809569473,-0.078328847,-0.59729761,-0.428450529,-0.095165141,-0.311215009,-0.146209045,-0.532785098,0.664399582,0.662228353,0.078713556,0.376896236,0.537300492,0.535892572,0.431470987,0.915901429,0.876278847,0.874444122,0.876746974,0.250196946,0.187408305,0.881423586,-0.45900689,-0.251717689,Stoxx Europe 50
CAC40 Open,0.368738407,0.898897405,0.935382661,0.491733424,0.986087659,1,0.074774901,0.496132987,0.435054682,0.807963644,0.914256208,0.834406166,0.755083771,0.862042086,0.535481995,0.580142698,0.881952879,0.840545726,0.943481516,0.385589875,-0.114247668,0.647718644,-0.326869733,0.071140712,0.440497057,-0.369621394,-0.492964045,-0.854568388,-0.663282883,-0.070933064,-0.28997447,-0.388637885,-0.553414175,-0.231684076,-0.320787537,-0.598401514,0.198297917,-0.728019712,-0.463592205,0.186996629,-0.439571161,-0.518238714,0.650603265,-0.821252212,-0.081434016,-0.594033863,-0.420741556,-0.071002685,-0.29399628,-0.119757814,-0.529085729,0.664868854,0.66008556,0.064683548,0.374397665,0.527878941,0.524816458,0.438760481,0.932482581,0.898137783,0.8868331,0.897041788,0.277920741,0.195604222,0.886560801,-0.453042324,-0.262982844,CAC40 Open
TelAvivOpen,0.507588137,-0.056584477,0.071544254,0.395020517,0.03669019,0.074774901,1,0.488325433,0.41709333,0.399340419,0.24264981,0.316186397,0.310145521,0.284793002,0.444045647,0.135777085,0.276901951,0.203731736,0.176032818,0.554664512,-0.46842967,0.490442414,-0.536317506,-0.601111093,-0.532700559,0.425903876,-0.633469425,0.040357318,0.045608709,-0.596350924,-0.393219989,-0.402817763,-0.606367476,-0.585466593,-0.530416665,-0.217111621,0.527223701,0.111582596,-0.399784799,-0.569416631,0.165208923,-0.222458823,-0.295949054,-0.141381534,-0.241928863,0.293867919,0.287227355,0.549271176,0.507205245,0.530370387,0.104188115,0.205837672,-0.1610695,0.29307742,-0.109964305,-0.202668717,-0.215191375,0.151747039,0.01519427,0.20995288,0.033113999,0.212054048,0.23317369,0.324623705,-0.014881733,0.283276283,-0.28030016,TelAvivOpen
IPCMexicoOpen,0.962725477,0.538204766,0.410748492,0.611505503,0.480922002,0.496132987,0.488325433,1,0.866456696,0.820871121,0.766172547,0.859979867,0.80239494,0.752446465,0.943278546,0.769932876,0.781504739,0.461025458,0.625300291,0.635516965,-0.843305716,0.896251898,-0.74027027,-0.770366071,-0.385837152,0.409534354,-0.887725154,-0.258006267,-0.25887194,-0.719524385,-0.810551541,-0.892359828,-0.847757519,-0.871054454,-0.738712052,-0.505777451,0.898697122,-0.096724886,-0.676454449,-0.193932168,0.162522194,-0.486137651,-0.1188169,-0.178517997,-0.310665226,-0.039812131,0.029460455,0.279288449,0.242590718,0.231536144,-0.103912252,0.444818636,0.058289757,0.635037938,0.095315361,-0.037288866,-0.088664869,0.000514829,0.339533976,0.666023591,0.382876785,0.687686027,0.824232703,0.289263858,0.17230363,0.161034343,-0.169252167,IPCMexicoOpen
MervalAregentinaOpen,0.880911577,0.526480406,0.327612494,0.471097317,0.424485037,0.435054682,0.41709333,0.866456696,1,0.656697301,0.653982731,0.728164953,0.589519013,0.641324011,0.918750424,0.868582727,0.685492172,0.569413374,0.576868591,0.364348072,-0.645036038,0.833106567,-0.491167594,-0.553504519,-0.395188162,0.474866167,-0.707650407,-0.213055373,-0.135195162,-0.531218842,-0.559109367,-0.665412073,-0.705984077,-0.640574944,-0.489714704,-0.426413356,0.76818644,0.053366461,-0.423066416,-0.305195247,-0.024712008,-0.267204624,-0.040618641,-0.17677086,-0.425042379,-0.15119458,-0.159925242,0.008758494,0.000825996,-0.02578394,-0.321628666,0.134301577,-0.180897739,0.448404845,0.12509493,0.087036302,0.058998218,-0.122190327,0.324643337,0.641348471,0.45785423,0.6415895,0.786672582,0.008154996,0.175951188,-0.049643046,-0.12645271,MervalAregentinaOpen
CanadaTSXOpen,0.72172574,0.754141277,0.75774978,0.562165484,0.785849532,0.807963644,0.399340419,0.820871121,0.656697301,1,0.923917864,0.951794359,0.951177306,0.95786195,0.775653364,0.61525153,0.882078305,0.612404104,0.822980735,0.758275833,-0.535067829,0.852052875,-0.717371431,-0.458590847,-0.015952109,-0.069934364,-0.855311314,-0.670413916,-0.638799517,-0.557262576,-0.735403923,-0.772059394,-0.874487616,-0.712279202,-0.71296066,-0.732258809,0.603726455,-0.535824338,-0.793449572,0.031979965,-0.184938326,-0.708239821,0.265974311,-0.522189593,-0.203083682,-0.374081953,-0.216750167,0.136216537,-0.014683311,0.078322522,-0.363457409,0.701780066,0.494721642,0.448415913,0.311311999,0.316807153,0.278357536,0.380087626,0.717970704,0.901070468,0.702255471,0.920967379,0.571624794,0.378022191,0.549096207,-0.128191497,-0.27276804,CanadaTSXOpen
ASXAustraliaOpen,0.665927609,0.866624338,0.837333776,0.560612298,0.914897489,0.914256208,0.24264981,0.766172547,0.653982731,0.923917864,1,0.965285358,0.884640591,0.939043325,0.767207647,0.713144708,0.961669978,0.77235234,0.920145685,0.553883196,-0.440226704,0.823159775,-0.555202952,-0.272983052,0.167612529,-0.106280779,-0.720315319,-0.731586931,-0.617819028,-0.35959794,-0.558590343,-0.664775801,-0.750646159,-0.534233902,-0.550963617,-0.651450527,0.532522839,-0.582376636,-0.639918481,0.089098565,-0.244822546,-0.590140905,0.411059297,-0.660668379,-0.165522324,-0.43274767,-0.279637816,0.066732889,-0.102293793,0.004273265,-0.409346134,0.684144882,0.524589846,0.330230017,0.287098711,0.359145922,0.343195154,0.322194174,0.801545883,0.912127023,0.774445924,0.925300646,0.522754077,0.30135028,0.706724063,-0.2467262,-0.240589733,ASXAustraliaOpen
DAXOpenGermany,0.777111697,0.802947942,0.759126078,0.579469603,0.830442987,0.834406166,0.316186397,0.859979867,0.728164953,0.951794359,0.965285358,1,0.922064813,0.944825606,0.848117548,0.75325005,0.930325713,0.678874209,0.858938431,0.640556445,-0.575803786,0.87089265,-0.653796293,-0.447844799,0.011475835,0.010402593,-0.82102132,-0.623999757,-0.584580602,-0.491735037,-0.697623478,-0.79158108,-0.837365966,-0.675148538,-0.650018325,-0.664283116,0.652480936,-0.47937762,-0.704282106,0.019180335,-0.132708922,-0.622361542,0.277372751,-0.518188233,-0.19568886,-0.350650689,-0.192329347,0.144556295,0.007167218,0.091298757,-0.33732099,0.658701548,0.444139414,0.480646248,0.24994081,0.248068336,0.21529174,0.258145558,0.698839373,0.894319859,0.704553436,0.910889111,0.631073393,0.349975284,0.559914049,-0.113005032,-0.257651905,DAXOpenGermany
RTSIRussianOpen,0.698103198,0.731562482,0.731551614,0.582355279,0.741825708,0.755083771,0.310145521,0.80239494,0.589519013,0.951177306,0.884640591,0.922064813,1,0.920792448,0.721153116,0.582701451,0.837090287,0.514134692,0.767548851,0.757683219,-0.584074251,0.835646703,-0.6899442,-0.470651889,0.027350974,-0.103950257,-0.812453153,-0.644013572,-0.633144142,-0.530658947,-0.789002202,-0.798341247,-0.831786839,-0.719666449,-0.686706559,-0.658831708,0.582226903,-0.518171724,-0.797264453,0.088015898,-0.10661834,-0.704483633,0.24149593,-0.426471857,-0.102318583,-0.341909438,-0.159160564,0.126602888,0.001934704,0.067584982,-0.280070034,0.751652355,0.553578052,0.515377987,0.292276828,0.277709556,0.235634493,0.329853384,0.672925261,0.832649734,0.611460541,0.861007683,0.568834035,0.392338538,0.492727948,-0.081114301,-0.208267667,RTSIRussianOpen
OMXCopenhagenOpen,0.652223879,0.813798544,0.841541497,0.513737001,0.844189588,0.862042086,0.284793002,0.752446465,0.641324011,0.95786195,0.939043325,0.944825606,0.920792448,1,0.750969508,0.638665581,0.886449988,0.69454994,0.862892694,0.680813194,-0.437408573,0.804795957,-0.60639743,-0.325048467,0.122984147,-0.188562988,-0.783587269,-0.760504503,-0.708441698,-0.417244031,-0.659604361,-0.704343006,-0.820048235,-0.60138384,-0.601759797,-0.741921003,0.512565241,-0.596192691,-0.726574649,0.121033571,-0.285522712,-0.678847503,0.392550229,-0.610717339,-0.185197627,-0.478797823,-0.312904662,0.06764439,-0.084910476,0.016848174,-0.410424907,0.683806031,0.556709326,0.376815545,0.317663172,0.350597055,0.31952174,0.398257538,0.788337633,0.92335343,0.769196034,0.937581931,0.542511442,0.398147016,0.653967404,-0.164132492,-0.254040174,OMXCopenhagenOpen
KopsiKoreaOpen,0.944154578,0.556245322,0.439910167,0.54868229,0.520075707,0.535481995,0.444045647,0.943278546,0.918750424,0.775653364,0.767207647,0.848117548,0.721153116,0.750969508,1,0.872638572,0.777695874,0.583270218,0.653461001,0.502107307,-0.771472847,0.886642109,-0.615477861,-0.661249419,-0.313752788,0.42138633,-0.821477041,-0.26481785,-0.24802483,-0.585640358,-0.689330542,-0.808641948,-0.785140466,-0.74706738,-0.613110147,-0.453545301,0.846329103,-0.058973439,-0.551376837,-0.230843343,0.1087609,-0.36806066,-0.044739229,-0.276645658,-0.345193306,-0.051227369,-0.00296014,0.250707408,0.205418185,0.204404983,-0.159464088,0.350819223,0.018801403,0.553796129,0.046953151,-0.027243182,-0.055482923,-0.01971859,0.367619824,0.678496461,0.440959079,0.692755747,0.80839192,0.234632618,0.262341261,0.102472221,-0.188376593,KopsiKoreaOpen
TaiwanTWIIIndex,0.786946556,0.68137938,0.464166605,0.441806009,0.586535314,0.580142698,0.135777085,0.769932876,0.868582727,0.61525153,0.713144708,0.75325005,0.582701451,0.638665581,0.872638572,1,0.748287646,0.669113239,0.674907178,0.15546126,-0.515260551,0.783846831,-0.37523816,-0.340913848,-0.129606171,0.349485886,-0.550411803,-0.289916212,-0.213229362,-0.309287945,-0.410879334,-0.606578843,-0.560060111,-0.44617187,-0.373630865,-0.35737979,0.636203506,-0.100499309,-0.287162898,-0.178734166,-0.068328673,-0.231815413,0.132142864,-0.288509615,-0.310648406,-0.214957591,-0.166412195,-0.03138675,-0.088281242,-0.063436704,-0.353052719,0.201641355,-0.010994052,0.425997271,0.154624095,0.164266048,0.146315107,-0.152985752,0.417715956,0.65573044,0.549020587,0.653815055,0.668819682,-0.028671153,0.337676639,-0.152020067,-0.154105411,TaiwanTWIIIndex
IBEXSpainIndex,0.683119427,0.864670164,0.804517244,0.627460537,0.884741026,0.881952879,0.276901951,0.781504739,0.685492172,0.882078305,0.961669978,0.930325713,0.837090287,0.886449988,0.777695874,0.748287646,1,0.809254765,0.936869202,0.493747687,-0.446815904,0.825404865,-0.538795472,-0.278775377,0.144427316,-0.033455426,-0.703253026,-0.670524235,-0.517414761,-0.347469315,-0.503184677,-0.641838559,-0.725978833,-0.514550812,-0.533977958,-0.57948505,0.545385114,-0.530444623,-0.569505841,0.034690558,-0.200905681,-0.532134503,0.373092424,-0.668279219,-0.19776692,-0.367807234,-0.22675059,0.111764809,-0.064279859,0.05334408,-0.384977234,0.674790463,0.463400209,0.323042114,0.269040258,0.315809306,0.294898532,0.262682951,0.76690802,0.865765668,0.746470295,0.871758963,0.491743561,0.259492956,0.694260332,-0.221855806,-0.268305089,IBEXSpainIndex
ATX Austria,0.381238745,0.769703785,0.77920041,0.513193276,0.833511749,0.840545726,0.203731736,0.461025458,0.569413374,0.612404104,0.77235234,0.678874209,0.514134692,0.69454994,0.583270218,0.669113239,0.809254765,1,0.874442593,0.155102407,-0.088440703,0.618088971,-0.169989103,0.112385811,0.305492043,-0.109710695,-0.390385663,-0.677744315,-0.375220801,0.009716967,-0.06766784,-0.232954511,-0.446738433,-0.117292273,-0.162808565,-0.390074341,0.225760449,-0.469438152,-0.221421122,-0.04515024,-0.409396071,-0.25366144,0.568892334,-0.844540449,-0.218165837,-0.454010282,-0.38329687,-0.027066727,-0.226790162,-0.070981072,-0.4951199,0.408843618,0.337027765,-0.083051011,0.253359683,0.418599834,0.434551122,0.27177878,0.7855076,0.747074334,0.786564415,0.727446717,0.266368239,0.051588832,0.84362592,-0.41725521,-0.2431451,ATX Austria
SwissMarketIndex,0.492667011,0.898040541,0.894108699,0.630683521,0.938113712,0.943481516,0.176032818,0.625300291,0.576868591,0.822980735,0.920145685,0.858938431,0.767548851,0.862892694,0.653461001,0.674907178,0.936869202,0.874442593,1,0.386897986,-0.252549214,0.738197877,-0.358653108,-0.055765384,0.322718199,-0.212041139,-0.577986985,-0.770323934,-0.517782969,-0.143081922,-0.334153402,-0.444567263,-0.609312764,-0.319143898,-0.352200603,-0.552817373,0.326071048,-0.583039133,-0.444664149,0.059076435,-0.355938423,-0.456601289,0.563492286,-0.784063078,-0.171331501,-0.523219014,-0.371189929,-0.022209444,-0.224900656,-0.070223892,-0.49780515,0.61342797,0.512485953,0.092323736,0.360611592,0.457795842,0.439989542,0.342762251,0.877826573,0.89040006,0.856185568,0.884319711,0.42120921,0.149840655,0.831252114,-0.389416094,-0.247465808,SwissMarketIndex
CRUDEWTI,0.556956797,0.274376469,0.421321815,0.423174398,0.349416733,0.385589875,0.554664512,0.635516965,0.364348072,0.758275833,0.553883196,0.640556445,0.757683219,0.680813194,0.502107307,0.15546126,0.493747687,0.155102407,0.386897986,1,-0.56297178,0.566715279,-0.801176167,-0.644894845,-0.227350779,-0.083188626,-0.842013128,-0.425741711,-0.507864353,-0.732520765,-0.831903044,-0.724144351,-0.849348173,-0.819696756,-0.798378435,-0.655695956,0.537206527,-0.400328126,-0.904728299,0.01258861,-0.000793843,-0.759874247,0.000173036,-0.1901959,-0.062697354,-0.152787962,0.011550457,0.353037253,0.309162807,0.320477788,-0.008428713,0.647518699,0.408068423,0.466123603,0.143176151,-0.027393773,-0.094761707,0.38382793,0.354449966,0.536419633,0.265752551,0.565102234,0.419904592,0.61005926,0.172926723,0.258409902,-0.207022846,CRUDEWTI
GOLD PRICE,-0.857723103,-0.10519216,-0.061381762,-0.548398847,-0.099254586,-0.114247668,-0.46842967,-0.843305716,-0.645036038,-0.535067829,-0.440226704,-0.575803786,-0.584074251,-0.437408573,-0.771472847,-0.515260551,-0.446815904,-0.088440703,-0.252549214,-0.56297178,1,-0.680905268,0.580140818,0.906794543,0.460212317,-0.526374768,0.740986096,-0.106605642,-0.040438293,0.652088848,0.797710245,0.79663348,0.626206867,0.846066119,0.580554369,0.118763509,-0.876064756,-0.25640301,0.519357139,0.26201247,-0.568123343,0.207186052,0.420844602,-0.122055765,0.151848172,-0.366960896,-0.393625726,-0.49267895,-0.564578875,-0.446078307,-0.345023291,-0.310937765,0.088640298,-0.657833632,0.202135101,0.432060521,0.473812151,0.185326799,0.056920052,-0.260212762,0.089332477,-0.295054143,-0.778441836,-0.348116411,0.147626275,-0.504407411,0.018858634,GOLD PRICE
