,Brazilian Bovespa,DJIA,Japan Nikkei,Shanghai Composite,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,Taiwan Index,IBEXSpainIndex,ATX Austria,SwissMarketIndex,CRUDE WTI PRICE,GOLD PRICE,COPPER SPOT PRICE,Euros per One DOllar,Yuan per One Dollar,Yen per One Dollar,Peso per One Dollar,Real per One Dollar,South Korea Won per One Dollar,IndiaRupee per One Dollar,SwissFranc per One Dollar,Malaysia per One Dollar,ThaiBhat per One Dollar,CanadianDol per One US Dollar,Singapore Dol per One Dollar,DanishKroner per One Dollar,NewZealandDollar per One Dollar,SriLanka Currency per One Dollar,Pound (GBP) per One Dollar,Norway currency per One Dollar,HongKong currency per One Dollar,SouthAfrica rand per One Dollar,Sweden currency per One Dollar,10YRUSTreasuryYield,2YearUSTreasury Yield,AAA Corporate Bond Yield -- US Moody's,CCC bond yield -- Bank of America US High Yield,Moody's BAA Yield,"BofA Merrill Lynch US Corporate BBB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch US High Yield BB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Asia Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted",U.S.SpotSilverPrices,"LIBOR (1-month), based on Euro",Soybean Price,"5-Year, 5-Year Forward Inflation Expectation Rate","10-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","5-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","Henry Hub Natural Gas Spot Price, Dollars per Million BTU, Daily, Not Seasonally Adjusted","Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT)?, Index, Daily, Not Seasonally Adjusted","Wilshire US Small-Cap Price Index?, Index, Daily, Not Seasonally Adjusted",Wilshire US Micro Cap,WilshireMidCapUS,CORNPRICESPOT,"TED Spread, Percent, Daily, Not Seasonally Adjusted","Bank Prime Loan Rate, Percent, Daily, Not Seasonally Adjusted","CBOE Volatility Index: VIX?, Index, Daily, Not Seasonally Adjusted","Economic Policy Uncertainty Index for United States, Index, Daily, Not Seasonally Adjusted",
AAA Corporate Bond Yield -- US Moody's,-0.301796382,-0.164461281,0.041124015,-0.045950247,-0.078328847,-0.081434016,-0.241928863,-0.310665226,-0.425042379,-0.203083682,-0.165522324,-0.19568886,-0.102318583,-0.185197627,-0.345193306,-0.310648406,-0.19776692,-0.218165837,-0.171331501,-0.062697354,0.151848172,-0.254781599,0.27732652,0.18587552,0.380606669,-0.230764072,0.331370269,0.034521286,0.052868776,0.323680467,0.122495296,0.16819404,0.302176588,0.230981935,0.276747865,0.332139382,-0.253014922,-0.108821428,0.1455687,0.194451089,0.152220227,0.139649298,0.421898438,0.087968325,1,0.10790995,0.466064417,0.125156667,0.146865054,0.140852934,0.32573747,0.129854757,0.300125837,-0.136655165,-0.189682319,-0.179662396,-0.152140028,-0.092668674,-0.060595288,-0.244014659,-0.21104214,-0.244591208,-0.310535106,0.174288054,0.04567383,0.161660081,0.120737088,AAA Corporate Bond Yield -- US Moody's
CCC -- Bank of America US High Yield,0.076414151,-0.669156922,-0.614846541,-0.004013356,-0.59729761,-0.594033863,0.293867919,-0.039812131,-0.15119458,-0.374081953,-0.43274767,-0.350650689,-0.341909438,-0.478797823,-0.051227369,-0.214957591,-0.367807234,-0.454010282,-0.523219014,-0.152787962,-0.366960896,-0.187440769,0.068489079,-0.430531541,-0.38664087,0.578121964,0.115636881,0.768158213,0.60598947,-0.085271351,-0.002972044,-0.018467225,0.258695281,-0.114098479,0.067047962,0.65131757,0.23958905,0.668359146,0.279145713,-0.311732698,0.867116748,0.477563861,-0.720028897,0.404840644,0.10790995,1,0.870436044,0.662774194,0.753532309,0.649939224,0.789246045,-0.164386827,-0.366343624,0.249552395,-0.656026037,-0.759978901,-0.70664902,-0.338678233,-0.687282311,-0.629382777,-0.774489481,-0.607005383,-0.075063544,0.138411054,-0.54881815,0.646552475,0.043568752,CCC -- Bank of America US High Yield
Moody's BAA Yield,0.122474349,-0.525798627,-0.379941348,0.133100581,-0.428450529,-0.420741556,0.287227355,0.029460455,-0.159925242,-0.216750167,-0.279637816,-0.192329347,-0.159160564,-0.312904662,-0.00296014,-0.166412195,-0.22675059,-0.38329687,-0.371189929,0.011550457,-0.393625726,-0.094314493,-0.025494064,-0.457230632,-0.236420728,0.445387387,0.011937085,0.600747785,0.457365764,-0.10269673,-0.131594005,-0.149155421,0.134806263,-0.192057061,-0.025907377,0.557959814,0.271628464,0.456121266,0.151396613,-0.231194541,0.820899883,0.306272425,-0.432666733,0.322859238,0.466064417,0.870436044,1,0.744439744,0.80113786,0.739786672,0.774098721,0.044228615,-0.130823695,0.288449619,-0.642690693,-0.754834176,-0.705329993,-0.30387595,-0.521105482,-0.488110402,-0.638863278,-0.471712346,-0.07493151,0.309592712,-0.396767106,0.674297399,-0.030983907,Moody's BAA Yield
"BofA Merrill Lynch US Corporate BBB Effective Yield?, Percent, Daily, Not Seasonally Adjusted",0.302691939,-0.267001203,-0.009133981,0.369270083,-0.095165141,-0.071002685,0.549271176,0.279288449,0.008758494,0.136216537,0.066732889,0.144556295,0.126602888,0.06764439,0.250707408,-0.03138675,0.111764809,-0.027066727,-0.022209444,0.353037253,-0.49267895,0.157111167,-0.35042125,-0.568541792,-0.216125489,0.307899445,-0.364681594,0.234196873,0.12329086,-0.324668412,-0.335082009,-0.393094101,-0.25650267,-0.442964454,-0.34678464,0.179806709,0.416651883,0.127868784,-0.19870119,-0.170309196,0.632447915,-0.06101063,-0.357899768,-0.091290262,0.125156667,0.662774194,0.744439744,1,0.939362421,0.983407057,0.718215178,0.361582705,0.113366897,0.352428417,-0.472607013,-0.682108306,-0.681236495,-0.015959924,-0.209211873,-0.163213244,-0.351752718,-0.145960448,0.061007614,0.643749886,-0.064649879,0.744886617,-0.235752568,"BofA Merrill Lynch US Corporate BBB Effective Yield?, Percent, Daily, Not Seasonally Adjusted"
"BofA Merrill Lynch US High Yield BB Effective Yield?, Percent, Daily, Not Seasonally Adjusted",0.306463951,-0.449650134,-0.231881431,0.25485363,-0.311215009,-0.29399628,0.507205245,0.242590718,0.000825996,-0.014683311,-0.102293793,0.007167218,0.001934704,-0.084910476,0.205418185,-0.088281242,-0.064279859,-0.226790162,-0.224900656,0.309162807,-0.564578875,0.075375093,-0.2856939,-0.646060785,-0.34466586,0.401416086,-0.306635674,0.415212028,0.260086864,-0.342966571,-0.349823792,-0.364281372,-0.185059279,-0.451202992,-0.284269403,0.270802304,0.434159478,0.325313335,-0.143766873,-0.243224464,0.738398016,0.051548463,-0.512378801,0.158161941,0.146865054,0.753532309,0.80113786,0.939362421,1,0.938973347,0.836389371,0.194239703,-0.077794103,0.395145844,-0.579852636,-0.838481777,-0.838344039,-0.146139577,-0.436487468,-0.340402329,-0.559554609,-0.317467961,0.122539626,0.585534073,-0.299048909,0.875372894,-0.107621967,"BofA Merrill Lynch US High Yield BB Effective Yield?, Percent, Daily, Not Seasonally Adjusted"
"BofA Merrill Lynch Asia Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted",0.260111628,-0.302845255,-0.041820612,0.344244326,-0.146209045,-0.119757814,0.530370387,0.231536144,-0.02578394,0.078322522,0.004273265,0.091298757,0.067584982,0.016848174,0.204404983,-0.063436704,0.05334408,-0.070981072,-0.070223892,0.320477788,-0.446078307,0.101823367,-0.328582056,-0.546475352,-0.235013843,0.304722995,-0.326881493,0.273421435,0.145598685,-0.30752356,-0.306498812,-0.363753637,-0.228985812,-0.412365505,-0.325119879,0.185364767,0.376491605,0.139374435,-0.155378631,-0.179409246,0.613846669,-0.056153102,-0.357167842,-0.040275469,0.140852934,0.649939224,0.739786672,0.983407057,0.938973347,1,0.721020166,0.316476127,0.082565186,0.343237565,-0.484181997,-0.721316616,-0.726696022,-0.039350351,-0.244451437,-0.202694206,-0.370438597,-0.190422249,0.038780134,0.631564983,-0.110176997,0.770629572,-0.239499453,"BofA Merrill Lynch Asia Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted"
"BofA Merrill Lynch Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted",-0.046312001,-0.64644329,-0.450223573,0.037102267,-0.532785098,-0.529085729,0.104188115,-0.103912252,-0.321628666,-0.363457409,-0.409346134,-0.33732099,-0.280070034,-0.410424907,-0.159464088,-0.353052719,-0.384977234,-0.4951199,-0.49780515,-0.008428713,-0.345023291,-0.259896007,0.1010989,-0.361804374,-0.144450225,0.240253082,0.126039304,0.545936208,0.421109249,-0.007516618,-0.091375342,-0.033136545,0.252180953,-0.115913787,0.099819847,0.570652863,0.111149429,0.45262663,0.136112845,-0.055352957,0.801983423,0.335192032,-0.512953732,0.346056009,0.32573747,0.789246045,0.774098721,0.718215178,0.836389371,0.721020166,1,-0.000388401,-0.106393789,0.187746283,-0.580766671,-0.823504883,-0.818785011,-0.2423056,-0.612994168,-0.646950361,-0.798265954,-0.617244733,-0.050340889,0.352728377,-0.431576541,0.820632496,0.149611567,"BofA Merrill Lynch Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted"
U.S.SpotSilverPrices,0.321374355,0.547742151,0.678842529,0.512107166,0.664399582,0.664868854,0.205837672,0.444818636,0.134301577,0.701780066,0.684144882,0.658701548,0.751652355,0.683806031,0.350819223,0.201641355,0.674790463,0.408843618,0.61342797,0.647518699,-0.310937765,0.464001627,-0.502718485,-0.223795838,0.34053455,-0.39436215,-0.53158872,-0.635243007,-0.64057031,-0.267781076,-0.54542497,-0.538591525,-0.551456027,-0.44374233,-0.498713461,-0.469370456,0.242114953,-0.669315177,-0.632966254,0.344575295,0.010100501,-0.635668298,0.294826513,-0.5649538,0.129854757,-0.164386827,0.044228615,0.361582705,0.194239703,0.316476127,-0.000388401,1,0.836440058,0.346362826,0.04771792,0.067336132,0.067774367,0.516148782,0.635008657,0.543876728,0.387233773,0.576830162,0.120330445,0.595730408,0.58529337,0.060283471,-0.257248208,U.S.SpotSilverPrices
"LIBOR (1-month), based on Euro",-0.073952183,0.526864588,0.726889124,0.23801672,0.662228353,0.66008556,-0.1610695,0.058289757,-0.180897739,0.494721642,0.524589846,0.444139414,0.553578052,0.556709326,0.018801403,-0.010994052,0.463400209,0.337027765,0.512485953,0.408068423,0.088640298,0.160658908,-0.174192365,0.197454063,0.67523307,-0.737252318,-0.179620141,-0.738116393,-0.731049571,0.111530065,-0.254511679,-0.208295439,-0.241911878,-0.055543136,-0.170502815,-0.373559037,-0.160969716,-0.798641947,-0.412699382,0.569761291,-0.217328831,-0.519526013,0.551045656,-0.619779272,0.300125837,-0.366343624,-0.130823695,0.113366897,-0.077794103,0.082565186,-0.106393789,0.836440058,1,0.066235136,0.162196573,0.26176503,0.270911318,0.575555151,0.693789013,0.457035376,0.442522302,0.478940716,-0.166221936,0.50618461,0.69634776,-0.127581854,-0.190916011,"LIBOR (1-month), based on Euro"
Soybean Price,0.693251067,0.175523285,0.006195543,0.121073564,0.078713556,0.064683548,0.29307742,0.635037938,0.448404845,0.448415913,0.330230017,0.480646248,0.515377987,0.376815545,0.553796129,0.425997271,0.323042114,-0.083051011,0.092323736,0.466123603,-0.657833632,0.488314364,-0.637164584,-0.719388394,-0.470231434,0.362747566,-0.583712801,0.065519963,-0.311346017,-0.633346598,-0.749403089,-0.814672835,-0.565631206,-0.717261153,-0.639164203,-0.315480988,0.646978585,0.02018045,-0.525866537,-0.083744604,0.378117785,-0.411136818,-0.438660605,0.280724598,-0.136655165,0.249552395,0.288449619,0.352428417,0.395145844,0.343237565,0.187746283,0.346362826,0.066235136,1,-0.086251165,-0.269304868,-0.312189435,-0.045325328,-0.096661438,0.203990744,-0.066866524,0.249447728,0.421987162,0.458842604,-0.269263044,0.448166131,-0.131086744,Soybean Price
"5-Year, 5-Year Forward Inflation Expectation Rate",0.022007115,0.486651062,0.40010943,-0.033967721,0.376896236,0.374397665,-0.109964305,0.095315361,0.12509493,0.311311999,0.287098711,0.24994081,0.292276828,0.317663172,0.046953151,0.154624095,0.269040258,0.253359683,0.360611592,0.143176151,0.202135101,0.199984303,-0.146363309,0.222162188,0.144971201,-0.297916937,-0.135518582,-0.488669301,-0.401117763,-0.035683672,-0.019134041,-0.034417004,-0.235770299,0.01306927,-0.14553869,-0.443616847,-0.101072445,-0.399344365,-0.262696937,0.106281941,-0.638025423,-0.335531311,0.379910188,-0.19819281,-0.189682319,-0.656026037,-0.642690693,-0.472607013,-0.579852636,-0.484181997,-0.580766671,0.04771792,0.162196573,-0.086251165,1,0.776056157,0.583238029,0.180662136,0.401283018,0.457171652,0.547094664,0.442149324,0.039158062,-0.202996349,0.280659827,-0.505486867,-0.007879218,"5-Year, 5-Year Forward Inflation Expectation Rate"
"10-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted",-0.126835333,0.616994308,0.490463482,-0.113170789,0.537300492,0.527878941,-0.202668717,-0.037288866,0.087036302,0.316807153,0.359145922,0.248068336,0.277709556,0.350597055,-0.027243182,0.164266048,0.315809306,0.418599834,0.457795842,-0.027393773,0.432060521,0.190089791,0.01638794,0.49958484,0.311702587,-0.409621125,0.034338989,-0.62318727,-0.480740132,0.148689816,0.163384547,0.144416205,-0.098694703,0.226162452,0.018288495,-0.458275926,-0.2728813,-0.522559199,-0.131935156,0.165455523,-0.786366995,-0.276492017,0.556919816,-0.399758973,-0.179662396,-0.759978901,-0.754834176,-0.682108306,-0.838481777,-0.721316616,-0.823504883,0.067336132,0.26176503,-0.269304868,0.776056157,1,0.964907694,0.353290328,0.603773592,0.55195895,0.717298,0.539257076,-0.108616277,-0.388140928,0.494722742,-0.843987473,-0.041391862,"10-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted"
"5-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted",-0.173823958,0.592411229,0.466186198,-0.131723498,0.535892572,0.524816458,-0.215191375,-0.088664869,0.058998218,0.278357536,0.343195154,0.21529174,0.235634493,0.31952174,-0.055482923,0.146315107,0.294898532,0.434551122,0.439989542,-0.094761707,0.473812151,0.160997446,0.082395223,0.552304728,0.342465826,-0.405286098,0.101101514,-0.600477502,-0.453078261,0.207141237,0.219224457,0.201210031,-0.028780141,0.286718278,0.084516848,-0.406236136,-0.310595662,-0.508357789,-0.060606226,0.169648741,-0.748398625,-0.217025971,0.560371668,-0.43405561,-0.152140028,-0.70664902,-0.705329993,-0.681236495,-0.838344039,-0.726696022,-0.818785011,0.067774367,0.270911318,-0.312189435,0.583238029,0.964907694,1,0.381466063,0.611593713,0.520705325,0.69669155,0.510570227,-0.157391608,-0.414723583,0.521815443,-0.876634024,-0.050536166,"5-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted"
"Henry Hub Natural Gas Spot Price, Dollars per Million BTU, Daily, Not Seasonally Adjusted",-0.107124199,0.326532139,0.412720022,-0.008908093,0.431470987,0.438760481,0.151747039,0.000514829,-0.122190327,0.380087626,0.322194174,0.258145558,0.329853384,0.398257538,-0.01971859,-0.152985752,0.262682951,0.27177878,0.342762251,0.38382793,0.185326799,0.108465514,-0.152767845,0.176376221,0.303989966,-0.557117055,-0.188449841,-0.55850711,-0.601938007,-0.002021639,-0.139584033,-0.020958919,-0.231957265,-0.017608925,-0.147610198,-0.477118298,-0.219005769,-0.566323001,-0.372175995,0.216087033,-0.316322226,-0.394537353,0.267671576,-0.482880269,-0.092668674,-0.338678233,-0.30387595,-0.015959924,-0.146139577,-0.039350351,-0.2423056,0.516148782,0.575555151,-0.045325328,0.180662136,0.353290328,0.381466063,1,0.499933746,0.355675163,0.360208714,0.38698138,-0.17547129,0.246192432,0.461736449,-0.237435696,-0.173367631,"Henry Hub Natural Gas Spot Price, Dollars per Million BTU, Daily, Not Seasonally Adjusted"
"Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT)?, Index, Daily, Not Seasonally Adjusted",0.184939195,0.841866019,0.904745034,0.477490004,0.915901429,0.932482581,0.01519427,0.339533976,0.324643337,0.717970704,0.801545883,0.698839373,0.672925261,0.788337633,0.367619824,0.417715956,0.76690802,0.7855076,0.877826573,0.354449966,0.056920052,0.51022835,-0.22530741,0.214374048,0.506228161,-0.510738978,-0.376527059,-0.900013583,-0.647770316,0.011679163,-0.200385595,-0.231888252,-0.45681668,-0.118122023,-0.219360694,-0.588614175,0.017594677,-0.756361884,-0.407407041,0.280954418,-0.534855497,-0.518725099,0.723276137,-0.8185786,-0.060595288,-0.687282311,-0.521105482,-0.209211873,-0.436487468,-0.244451437,-0.612994168,0.635008657,0.693789013,-0.096661438,0.401283018,0.603773592,0.611593713,0.499933746,1,0.870746373,0.902869958,0.860813096,0.178330615,0.126054098,0.89536065,-0.565262351,-0.225517378,"Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT)?, Index, Daily, Not Seasonally Adjusted"
"Wilshire US Small-Cap Price Index?, Index, Daily, Not Seasonally Adjusted",0.556059506,0.87227305,0.830169751,0.480519177,0.876278847,0.898137783,0.20995288,0.666023591,0.641348471,0.901070468,0.912127023,0.894319859,0.832649734,0.92335343,0.678496461,0.65573044,0.865765668,0.747074334,0.89040006,0.536419633,-0.260212762,0.754089057,-0.518295499,-0.15461587,0.138120596,-0.18633078,-0.67991849,-0.775086282,-0.647888113,-0.337667159,-0.483447616,-0.553495888,-0.741312203,-0.4537382,-0.513810188,-0.756826502,0.396414543,-0.60716017,-0.61203169,0.08156648,-0.45914361,-0.633739139,0.497518989,-0.61900865,-0.244014659,-0.629382777,-0.488110402,-0.163213244,-0.340402329,-0.202694206,-0.646950361,0.543876728,0.457035376,0.203990744,0.457171652,0.55195895,0.520705325,0.355675163,0.870746373,1,0.922264766,0.995956852,0.498054742,0.145024657,0.683381535,-0.451921694,-0.244227206,"Wilshire US Small-Cap Price Index?, Index, Daily, Not Seasonally Adjusted"
Wilshire US Micro Cap,0.270532058,0.874591558,0.8423955,0.33962827,0.874444122,0.8868331,0.033113999,0.382876785,0.45785423,0.702255471,0.774445924,0.704553436,0.611460541,0.769196034,0.440959079,0.549020587,0.746470295,0.786564415,0.856185568,0.265752551,0.089332477,0.545185377,-0.264375124,0.195348959,0.329693169,-0.34124293,-0.407470743,-0.804686521,-0.606672822,-0.049924771,-0.14492128,-0.245107663,-0.502632096,-0.113891334,-0.259069527,-0.668727375,0.091692638,-0.663427501,-0.355337242,0.108244164,-0.67895316,-0.496614118,0.683086603,-0.696420441,-0.21104214,-0.774489481,-0.638863278,-0.351752718,-0.559554609,-0.370438597,-0.798265954,0.387233773,0.442522302,-0.066866524,0.547094664,0.717298,0.69669155,0.360208714,0.902869958,0.922264766,1,0.896820207,0.244725445,-0.033129879,0.774597799,-0.653768092,-0.247035741,Wilshire US Micro Cap
WilshireMidCapUS,0.5776629,0.872185663,0.821968097,0.468499501,0.876746974,0.897041788,0.212054048,0.687686027,0.6415895,0.920967379,0.925300646,0.910889111,0.861007683,0.937581931,0.692755747,0.653815055,0.871758963,0.727446717,0.884319711,0.565102234,-0.295054143,0.769903536,-0.542369319,-0.185645471,0.126150926,-0.186288917,-0.697091391,-0.776531771,-0.674933796,-0.363919859,-0.526721972,-0.587519149,-0.755127815,-0.485484096,-0.53814883,-0.76959135,0.417599634,-0.611309214,-0.64896173,0.096322169,-0.426880316,-0.651879501,0.465508382,-0.605891234,-0.244591208,-0.607005383,-0.471712346,-0.145960448,-0.317467961,-0.190422249,-0.617244733,0.576830162,0.478940716,0.249447728,0.442149324,0.539257076,0.510570227,0.38698138,0.860813096,0.995956852,0.896820207,1,0.513581946,0.166076649,0.669749477,-0.428162551,-0.235298448,WilshireMidCapUS
CORNPRICESPOT,0.792413536,0.332493431,0.212949465,0.515466088,0.250196946,0.277920741,0.23317369,0.824232703,0.786672582,0.571624794,0.522754077,0.631073393,0.568834035,0.542511442,0.80839192,0.668819682,0.491743561,0.266368239,0.42120921,0.419904592,-0.778441836,0.708448955,-0.45575745,-0.664998754,-0.371417687,0.397792725,-0.672614043,-0.099324172,-0.043445044,-0.538404839,-0.686128516,-0.681597316,-0.600706031,-0.701126016,-0.456445391,-0.333066571,0.741231627,0.161293759,-0.45394933,-0.164764655,0.183760367,-0.236785426,-0.147506255,0.037882086,-0.310535106,-0.075063544,-0.07493151,0.061007614,0.122539626,0.038780134,-0.050340889,0.120330445,-0.166221936,0.421987162,0.039158062,-0.108616277,-0.157391608,-0.17547129,0.178330615,0.498054742,0.244725445,0.513581946,1,0.050997803,0.001659893,0.139517899,0.049692842,CORNPRICESPOT
"TED Spread, Percent, Daily, Not Seasonally Adjusted",0.27577377,0.063778674,0.302364333,0.194440775,0.187408305,0.195604222,0.324623705,0.289263858,0.008154996,0.378022191,0.30135028,0.349975284,0.392338538,0.398147016,0.234632618,-0.028671153,0.259492956,0.051588832,0.149840655,0.61005926,-0.348116411,0.178736647,-0.493018974,-0.418363141,0.040504703,-0.159155928,-0.486873614,-0.22974544,-0.436167942,-0.349250043,-0.516839784,-0.515108372,-0.473305151,-0.471784253,-0.490945681,-0.2881733,0.310478817,-0.340778985,-0.541016954,0.178185799,0.189798307,-0.48715367,-0.015513933,-0.203101883,0.174288054,0.138411054,0.309592712,0.643749886,0.585534073,0.631564983,0.352728377,0.595730408,0.50618461,0.458842604,-0.202996349,-0.388140928,-0.414723583,0.246192432,0.126054098,0.145024657,-0.033129879,0.166076649,0.050997803,1,0.156940349,0.598144494,-0.236193907,"TED Spread, Percent, Daily, Not Seasonally Adjusted"
"Bank Prime Loan Rate, Percent, Daily, Not Seasonally Adjusted",0.041137174,0.739775935,0.895515312,0.421877689,0.881423586,0.886560801,-0.014881733,0.17230363,0.175951188,0.549096207,0.706724063,0.559914049,0.492727948,0.653967404,0.262341261,0.337676639,0.694260332,0.84362592,0.831252114,0.172926723,0.147626275,0.392866618,-0.01132142,0.368601888,0.680539529,-0.543729663,-0.204395768,-0.847742968,-0.537664223,0.249848448,0.032136114,-0.041823042,-0.273393889,0.092003931,-0.003980259,-0.357133978,-0.107137009,-0.694878522,-0.205448652,0.238271834,-0.488477293,-0.289729233,0.777669509,-0.956497186,0.04567383,-0.54881815,-0.396767106,-0.064649879,-0.299048909,-0.110176997,-0.431576541,0.58529337,0.69634776,-0.269263044,0.280659827,0.494722742,0.521815443,0.461736449,0.89536065,0.683381535,0.774597799,0.669749477,0.001659893,0.156940349,1,-0.470978931,-0.202587271,"Bank Prime Loan Rate, Percent, Daily, Not Seasonally Adjusted"
"CBOE Volatility Index: VIX?, Index, Daily, Not Seasonally Adjusted",0.24021271,-0.497745794,-0.342664239,0.069494099,-0.45900689,-0.453042324,0.283276283,0.161034343,-0.049643046,-0.128191497,-0.2467262,-0.113005032,-0.081114301,-0.164132492,0.102472221,-0.152020067,-0.221855806,-0.41725521,-0.389416094,0.258409902,-0.504407411,-0.055194015,-0.239083527,-0.6096607,-0.362512535,0.331778381,-0.207293875,0.463250024,0.22094435,-0.324094481,-0.374432516,-0.346108199,-0.109134274,-0.409376884,-0.240719135,0.244732618,0.369225493,0.359673212,-0.138971086,-0.104092063,0.669165514,0.026688949,-0.54045739,0.381475406,0.161660081,0.646552475,0.674297399,0.744886617,0.875372894,0.770629572,0.820632496,0.060283471,-0.127581854,0.448166131,-0.505486867,-0.843987473,-0.876634024,-0.237435696,-0.565262351,-0.451921694,-0.653768092,-0.428162551,0.139517899,0.598144494,-0.470978931,1,-0.005489035,"CBOE Volatility Index: VIX?, Index, Daily, Not Seasonally Adjusted"
"Economic Policy Uncertainty Index for United States, Index, Daily, Not Seasonally Adjusted",-0.155687252,-0.204088161,-0.264748252,-0.165367105,-0.251717689,-0.262982844,-0.28030016,-0.169252167,-0.12645271,-0.27276804,-0.240589733,-0.257651905,-0.208267667,-0.254040174,-0.188376593,-0.154105411,-0.268305089,-0.2431451,-0.247465808,-0.207022846,0.018858634,-0.201472929,0.280381473,0.10140509,0.010617259,-0.009436652,0.268983628,0.145495771,0.191821865,0.169082634,0.124015171,0.199777803,0.284511728,0.15676387,0.27678913,0.224146826,-0.13047252,0.235298563,0.165059329,0.037911315,0.084830222,0.257023389,-0.075065651,0.262015784,0.120737088,0.043568752,-0.030983907,-0.235752568,-0.107621967,-0.239499453,0.149611567,-0.257248208,-0.190916011,-0.131086744,-0.007879218,-0.041391862,-0.050536166,-0.173367631,-0.225517378,-0.244227206,-0.247035741,-0.235298448,0.049692842,-0.236193907,-0.202587271,-0.005489035,1,"Economic Policy Uncertainty Index for United States, Index, Daily, Not Seasonally Adjusted"